;;;;;;;
artist_name;track_name;popularity;year;genre;danceability;energy;valence
Claude Debussy;Rêverie, L. 68: Rêverie;61;2012;classical;0,296;0,00896;0,0673
Sergei Rachmaninoff;Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto;60;2012;classical;0,194;0,0545;0,0385
Frédéric Chopin;Waltz in C-sharp minor, Op. 64 No. 2;54;2012;classical;0,191;0,0157;0,0869
Sergei Rachmaninoff;Piano Concerto No. 2 in C Minor, Op. 18: 1. Moderato;49;2012;classical;0,144;0,111;0,0393
Sergei Rachmaninoff;Piano Concerto No. 2 in C Minor, Op. 18: 3. Allegro scherzando;43;2012;classical;0,319;0,148;0,067
Frédéric Chopin;Nocturne in E-Flat Major, Op. 55, No. 2;45;2012;classical;0,209;0,00759;0,0593
Claude Debussy;Préludes / Book 1, L.117: 8. La fille aux cheveux de lin;40;2012;classical;0,37;0,00375;0,193
Frédéric Chopin;Ballade No. 4 in F Minor, Op. 52;43;2012;classical;0,184;0,0507;0,0366
Frédéric Chopin;Nocturne Op.9 No.2 - Arranged by Francisco Tárrega/Mattias Schulstad;39;2012;classical;0,429;0,022;0,158
Claude Debussy;Suite Bergamasque: Clair de Lune;39;2012;classical;0,375;0,00607;0,0445
Frédéric Chopin;Études, Op. 25: No. 1 in A-Flat Major;40;2012;classical;0,278;0,0269;0,0343
Frédéric Chopin;Mazurka in A Minor, Op. 17 No. 4;39;2012;classical;0,157;0,00296;0,0393
Sergei Rachmaninoff;10 Préludes, Op. 23: No. 10 in G-Flat Major - Live;37;2012;classical;0,302;0,00448;0,0452
Ludwig van Beethoven;"Piano Sonata No. 8 in C minor, Op. 13 -""Pathétique"": 2. Adagio cantabile";27;2012;classical;0,267;0,0053;0,132
Frédéric Chopin;24 Préludes, Op. 28: 24. In D Minor - 2011 Recording;28;2012;classical;0,255;0,18;0,0527
Frédéric Chopin;Études, Op. 25: No. 11 in A Minor;24;2012;classical;0,204;0,239;0,0779
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Hail, O Virgin Mother (Ave Maria)";32;2012;classical;0,147;0,0297;0,0358
Ludwig van Beethoven;"Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso";35;2012;classical;0,261;0,00881;0,0542
Frédéric Chopin;"Waltz Op. 64, No. 1 in D-Flat Major ""Minute Waltz""";32;2012;classical;0,349;0,0338;0,268
Frédéric Chopin;Four Mazurkas, Op. 41: II. Andantino;31;2012;classical;0,437;0,0171;0,0377
Felix Mendelssohn;Violin Concerto in E Minor, Op. 64, MWV O 14: I. Allegro molto appassionata;31;2012;classical;0,25;0,114;0,0624
Claude Debussy;Cello Sonata in D Minor: III. Finale;31;2012;classical;0,244;0,0714;0,119
Claude Debussy;Préludes - Book 2, L.123: 10. Canope;30;2012;classical;0,42;0,00383;0,0958
Frédéric Chopin;Études, Op. 25: No. 5 in E Minor;22;2012;classical;0,31;0,0414;0,0752
Claude Debussy;Préludes - Book 2, L.123: 11. Les tierces alternées;29;2012;classical;0,279;0,0633;0,157
Claude Debussy;Préludes - Book 2, L.123: 8. Ondine;29;2012;classical;0,258;0,0274;0,0343
Claude Debussy;Préludes - Book 2, L.123: 7. La terrasse des audiences du clair de lune;28;2012;classical;0,542;0,00411;0,039
Frédéric Chopin;Les Sylphides: 7. Valse in C♯ minor, Op. 64, No. 2;30;2012;classical;0,109;0,0319;0,0599
Frédéric Chopin;Waltz No .7 in C-Sharp Minor, Op. 64 No. 2: Tempo giusto;30;2012;classical;0,239;0,0102;0,121
Frédéric Chopin;Ballade No. 2 en fa majeur, Op. 38;30;2012;classical;0,268;0,112;0,0455
Claude Debussy;Romances, L. 79: Romance No. 1;25;2012;classical;0,215;0,0112;0,0668
Claude Debussy;"Préludes - Book 2, L.123: 6. ""General Lavine"" - eccentric";26;2012;classical;0,48;0,0515;0,238
Frédéric Chopin;Impromptu No. 1 in A-Flat Major, Op. 29;25;2012;classical;0,204;0,043;0,17
Ludwig van Beethoven;Symphony No. 7 in A Major, Op. 92: II. Allegretto;29;2012;classical;0,207;0,0356;0,0466
Sergei Rachmaninoff;Rachmaninov: Symphony No. 2 in E Minor, Op. 27: I. Largo - Allegro moderato;27;2012;classical;0,122;0,0388;0,0363
Ludwig van Beethoven;Symphony No. 8 in F Major, Op. 93: IV. Allegro vivace;29;2012;classical;0,35;0,169;0,141
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Thanksgiving hymn of Virgin Mary: O victorious leader";26;2012;classical;0,223;0,291;0,238
Franz Liszt;Paraphrase de concert sur Rigoletto, S. 434: Verdi - Rigoletto: Paraphrase de concert, S434/R267(Hungary);18;2012;classical;0,239;0,232;0,0789
Claude Debussy;La Mer, L.109: 1. From Dawn Till Noon On The Sea (De l'aube à midi sur la mer);20;2012;classical;0,154;0,0777;0,0364
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Song of Simeon: Lord, now let your servant depart";26;2012;classical;0,196;0,0386;0,0385
Ludwig van Beethoven;"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise"": Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise"" - Live";24;2012;classical;0,232;0,023;0,316
Ludwig van Beethoven;"Symphony No. 3 in E-Flat Major, Op. 55 ""Eroica"": I. Allegro con brio";25;2012;classical;0,252;0,103;0,192
Ludwig van Beethoven;"Piano Sonata No. 8 in C minor, Op. 13 -""Pathétique"": 1. Grave - Allegro di molto e con brio";18;2012;classical;0,33;0,175;0,156
Sergei Rachmaninoff;Rachmaninov: Symphony No. 2 in E Minor, Op. 27: III. Adagio;22;2012;classical;0,0843;0,0179;0,0328
Ludwig van Beethoven;Piano Sonata No. 31 in A-Flat Major, Op. 110: III. Adagio ma non troppo -;20;2012;classical;0,44;0,00293;0,0355
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Beginning song: Come let us worship";24;2012;classical;0,104;0,094;0,0446
Felix Mendelssohn;Octet in E Flat Major, Op. 20, MWV R20: I. Allegro moderato, ma con fuoco;17;2012;classical;0,291;0,151;0,23
Ludwig van Beethoven;"Piano Sonata No. 17 in D Minor, Op. 31 No. 2, ""The Tempest"": III. Allegretto";25;2012;classical;0,205;0,11;0,158
Felix Mendelssohn;Violin Concerto in E Minor, Op. 64, MWV O 14: III. Allegretto non troppo - Allegro molto vivace;23;2012;classical;0,361;0,163;0,28
Claude Debussy;Prélude à l'après-midi d'un faune, L.86;18;2012;classical;0,0607;0,0303;0,0317
Claude Debussy;La Mer, L.109: 2. Play of the Waves (Jeux de vagues);17;2012;classical;0,0967;0,162;0,0377
Claude Debussy;Rêverie, L. 68;20;2012;classical;0,207;0,0454;0,0504
Ludwig van Beethoven;"Piano Sonata No. 8 in C minor, Op. 13 -""Pathétique"": 3. Rondo (Allegro)";16;2012;classical;0,364;0,122;0,25
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Blessed is the man";22;2012;classical;0,165;0,0213;0,0363
Felix Mendelssohn;Violin Concerto in E Minor, Op. 64, MWV O 14: II. Andante;22;2012;classical;0,117;0,0539;0,0354
Sergei Rachmaninoff;"All-night Vigil, Op. 37, ""Vespers"": Resurrection hymn (Troparion): This day of salvation has com to the world";23;2012;classical;0,192;0,0821;0,0334
Sergei Rachmaninoff;Rachmaninov: Symphony No. 2 in E Minor, Op. 27: II. Allegro molto;22;2012;classical;0,297;0,108;0,141
Sergei Rachmaninoff;Rhapsody on a Theme of Paganini, Op. 43: Rhapsody on a Theme of Paganini, Op. 43;21;2012;classical;0,298;0,15;0,0607
Claude Debussy;Cello Sonata in D Minor: I. Prologue: Lent sostenuto et molto risoluto;20;2012;classical;0,193;0,0443;0,0946
Claude Debussy;La Mer, L.109: 3. Dialogue Of The Wind And The Sea;16;2012;classical;0,101;0,178;0,0343
Claude Debussy;Préludes - Book 2, L.123: 5. Bruyères;20;2012;classical;0,332;0,0157;0,189
Franz Liszt;"Grandes Etudes de Paganini, S141: No. 3 in G sharp minor (""La Campanella"") - Live At The Royal Albert Hall/2012";26;2012;classical;0,359;0,255;0,552
Franz Liszt;"Etude d'exécution transcendante S.139 : N°3 en fa majeur ""Paysage"" - Remasterisé en 2011 - Multi channel";14;2012;classical;0,484;0,0263;0,0911
Ludwig van Beethoven;"Piano Sonata No. 14 In C Sharp Minor, Op. 27 No. 2 -""Moonlight"": 3. Presto agitato";15;2012;classical;0,25;0,248;0,15
Ludwig van Beethoven;"Beethoven: Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""";23;2012;classical;0,105;0,032;0,458
Ludwig van Beethoven;"Piano Sonata No. 14 In C Sharp Minor, Op. 27 No. 2 -""Moonlight"": 1. Adagio sostenuto - Live At The Royal Albert Hall/2012";20;2012;classical;0,133;0,00663;0,168
Frédéric Chopin;Études, Op. 25: No. 8 in D-Flat Major;17;2012;classical;0,297;0,298;0,787
Claude Debussy;Préludes / Book 1, L.117: 1. Danseuses de Delphes;20;2012;classical;0,517;0,00363;0,0869
Claude Debussy;Préludes / Book 1, L.117: 2. Voiles;20;2012;classical;0,323;0,00593;0,0364
Claude Debussy;Prélude à l'après-midi d'un faune, L. 86;17;2012;classical;0,137;0,0419;0,0315
Ludwig van Beethoven;"Piano Sonata No. 14 In C Sharp Minor, Op. 27 No. 2 -""Moonlight"": 3. Presto agitato - Live At The Royal Albert Hall/2012";20;2012;classical;0,252;0,23;0,0985
Claude Debussy;Préludes / Book 1, L.117: 5. Les collines d'Anacapri;20;2012;classical;0,213;0,0396;0,0787
Claude Debussy;Préludes / Book 1, L.117: 6. Des pas sur la neige;19;2012;classical;0,505;0,00106;0,147
Felix Mendelssohn;Octet in E Flat Major, Op. 20, MWV R20: IV. Presto;13;2012;classical;0,345;0,27;0,537
Ludwig van Beethoven;Diabelli Variations, Op. 120: Variation XXIV. Fughetta (Andante);19;2012;classical;0,386;0,0164;0,611
Ludwig van Beethoven;Violin concerto in D Major, Op. 61: III. Rondo - Allegro;20;2012;classical;0,347;0,128;0,24
Sergei Rachmaninoff;Piano Concerto No. 3 in D Minor, Op. 30: I. Allegro ma non tanto;22;2012;classical;0,262;0,116;0,0467
